xi;yi;zi
0,00;0,00;64,21772789
0,00;1,67;-103,8945634
0,00;3,33;-30,86902065
0,00;5,00;-53,85985046
0,00;6,67;-206,6681455
0,00;8,33;-289,0337473
0,00;10,00;-409,4953582
2,22;0,00;-62,0193896
2,22;1,67;9,711963096
2,22;3,33;9,103112503
2,22;5,00;-72,53059557
2,22;6,67;-87,90302795
2,22;8,33;-233,4333799
2,22;10,00;-470,5612301
4,44;0,00;-19,10283358
4,44;1,67;-181,1126803
4,44;3,33;-62,71976994
4,44;5,00;-87,02187287
4,44;6,67;127,8072976
4,44;8,33;-383,3323323
4,44;10,00;-286,0189533
6,67;0,00;176,452095
6,67;1,67;43,37490844
6,67;3,33;-247,6923334
6,67;5,00;28,13649218
6,67;6,67;27,58126196
6,67;8,33;-179,3963372
6,67;10,00;-193,3210861
8,89;0,00;-97,50381885
8,89;1,67;-123,3782619
8,89;3,33;-167,8423838
8,89;5,00;-88,91005198
8,89;6,67;-64,14538228
8,89;8,33;-144,3309275
8,89;10,00;-283,4703654
11,11;0,00;-166,4520874
11,11;1,67;54,66348853
11,11;3,33;-97,1556631
11,11;5,00;-29,60551254
11,11;6,67;-204,8955072
11,11;8,33;-354,7142177
11,11;10,00;-372,0923124
13,33;0,00;-46,08439338
13,33;1,67;-130,7924539
13,33;3,33;73,74021238
13,33;5,00;65,46653492
13,33;6,67;-49,06020523
13,33;8,33;-107,5920067
13,33;10,00;-216,5944212
15,56;0,00;4,779973431
15,56;1,67;53,02378766
15,56;3,33;-45,17615864
15,56;5,00;151,9047406
15,56;6,67;-98,81503767
15,56;8,33;-157,1410385
15,56;10,00;-147,2618859
17,78;0,00;-37,08102823
17,78;1,67;-51,59255166
17,78;3,33;88,22710245
17,78;5,00;-137,0791091
17,78;6,67;-146,4179945
17,78;8,33;-118,3232075
17,78;10,00;-177,7453122
20,00;0,00;-23,96788382
20,00;1,67;22,49745135
20,00;3,33;83,99934567
20,00;5,00;55,24525676
20,00;6,67;167,8814778
20,00;8,33;-34,38289502
20,00;10,00;-258,717493
